Necessidade a ser atendida;Transversal;Público alvo;Unidades organizacionais;UF;Enfoque do desenvolvimento;Competência associada;Quantidade prevista de servidores;Área temática – Sistema Estruturante do Poder Executivo Federal;Modalidade;Tipo de aprendizagem;Especificação do tipo de aprendizagem;Título;Carga horária individual prevista;Término previsto;Ação gratuita;Custo individual previsto;A necessidade pode ser atendida pela Escola de Governo do meu Órgão
Ampliar a conscientização sobre segurança e saúde no trabalho.;Sim;Servidores IFPR;IFPR;PR;Comportamental, gerencial ou liderança, Educação Formal;Visão sistêmica;500;Serviços gerais (logística);A distância, Presencial;Evento de Capacitação;Curso;Saúde Ocupacional e no Trabalho;00:00;2020;Sim;;Sim
Trabalhar o conhecimento da função do Estado das especificidades do serviço público da missão do IFPR e da conduta do servidor público;Sim;Servidores IFPR;IFPR;PR;Educação Formal;Representação Institucional;300;Documentação e Arquivo;A distância, Presencial;Evento de Capacitação;Curso;Autorresponsabilidade do Servidor Público;00:00;2020;Sim;;Sim
Preparação do servidor para o desenvolvimento da atividade de gestão;Sim;Gestores;IFPR;PR;Comportamental, gerencial ou liderança;Flexibilidade;150;Administração financeira;A distância, Presencial;Evento de Capacitação;Curso;Gestão de Conflitos;00:00;2020;Sim;;Sim
Preparação do servidor para o desenvolvimento da atividade de gestão;Sim;GESTORES;IFPR;PR;Comportamental, gerencial ou liderança;Aplicativos e sistemas, Articulação, Autocontrole, Flexibilidade;300;Administração financeira;A distância, Presencial;Evento de Capacitação;Curso;Liderança e Gestão de Pessoas;00:00;2020;Sim;;Sim
Preparação do servidor para o desenvolvimento da atividade de gestão;Sim;Gestores e Servidores do IFPR;IFPR;PR;Aprimoramento Técnico;Delegação, Ensino, pesquisa e/ou extensão, Negociação;150;Administração financeira, Documentação e Arquivo;A distância, Presencial;Evento de Capacitação;Curso;Relacionamento Interpessoal e Trabalho em Equipe;00:00;2020;Sim;;Sim
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Sim;Equipe DTIC e TIC;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Métricas do Software (APF);00:00;2020;;300;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;;Evento de Capacitação;Curso;Engenharia de requisitos;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Análise de negócio.;00:00;0;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Linguagem de Modelagem Unificada;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial;Evento de Capacitação;Curso;Versionador Git;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Modelagem de Banco de Dados Desenvolvimento de Sistemas;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Padronização de desenvolvimento (coding standards, coding conventions);00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;PHP: Framework Laravel;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Metodologias Ágeis de Desenvolvimento (SCRUM, XP, etc...);00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Imersão em testes;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial;Evento de Capacitação;Curso;Teste de Invasão de Aplicações Web Segurança (ESR/RNP);00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Devops;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Prototipação;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;OpenLDAP;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;VMware;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Firewall Palo Alto;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;OpenStack;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;ITIL V3;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Representação Institucional;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Práticas e ferramentas de monitoramento de eventos em infraestrutura (zabbix);00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Sistemas de Backup;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Curso de analise de logs com KIBANA;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Red Hat Certified System Administrator (RHCSA);00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Segurança, backup e recuperação para ambientes de redes e de hosts;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Segurança de TI;00:00;2020;;100;Não
Viabilizar soluções em tecnologia da informação e comunicação que contribuam para o desenvolvimento institucional e da comunidade acadêmica;Não;Servidores que atuam na DTIC e TIC;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Programação segura;00:00;2020;;100;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;DOCENTES E TAE;IFPR;PR;Aprimoramento Técnico;Processo decisório, Relacionamento interpessoal;300;Transparência e controle social;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Metodologias Ativas;00:00;2020;;100;Sim
Oportunizar diálogos e debates, entre os docentes, visando oportunizar espaços de compartilhamentos de experiências.;Sim;DOCENTES, TAES que trabalham com EAD;EAD PROENS PROEPPI CAMPUS;PR;Aprimoramento Técnico;Delegação, Gestão de conflitos, Orientação por resultados, Processo decisório;100;Transparência e controle social;A distância;Evento de Capacitação;Seminário;Seminário sobre Educação a Distância;00:00;2020;;100;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores da DsEAD;DsEAD;PR;Aprimoramento Técnico;Orientação por resultados, Relacionamento interpessoal;4;Administração financeira, Transparência e controle social;A distância;Evento de Capacitação;Congresso;ABED e SEMEAD;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação;Não;Atuantes na área de Educação a Distância;DsEAD;PR;Aprimoramento Técnico;Condução de mudanças, Delegação, Processo decisório, Relacionamento interpessoal;60;Administração financeira;Semipresencial;Evento de Capacitação;Conferência, Seminário;;00:00;2020;;0;Sim
"Aumentar a integração no ambiente institucional;";Sim;Servidores IFPR;IFPR;PR;Comportamental, gerencial ou liderança;Ensino, pesquisa e/ou extensão, Flexibilidade, Negociação;300;Documentação e Arquivo;A distância, Presencial;Evento de Capacitação;Curso;Inteligência Emocional;00:00;2020;;0;Sim
Melhorar o desempenho de atividades vinculadas ao ambiente organizacional em que atua e ao cargo que ocupa.;Sim;Servidores IFPR;IFPR;PR;Aprimoramento Técnico, Educação Formal;Relacionamento interpessoal;50;Correição;A distância, Presencial;Evento de Capacitação;Curso;Cerimonial Público e Organização de Eventos Governamentais;00:00;2020;;0;Sim
Melhorar o desempenho de atividades vinculadas ao ambiente organizacional em que atua e ao cargo que ocupa.;Não;Servidores do IFPR;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;50;Transparência e controle social;A distância, Presencial;Evento de Capacitação;Curso;Formação de gestor cultural;00:00;2020;;0;Sim
Trabalhar o servidor para o desenvolvimento de atividades relacionadas e desenvolvidas em mais de um ambiente organizacional;Não;Gestores e fiscais de convênios;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Representação Institucional;100;Administração financeira;Semipresencial;Evento de Capacitação;Curso;Gestão de Convênios e Fundações;00:00;2020;;0;Sim
Preparação do servidor para o desenvolvimento da atividade de gestão.;Sim;Gestores;IFPR;PR;Comportamental, gerencial ou liderança;Autocrítica, Comunicação eficaz, Ensino, pesquisa e/ou extensão, Negociação;150;Documentação e Arquivo;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Gestão por competências;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuam Núcleo de Inovação Tecnológica;NIT;PR;Aprimoramento Técnico;15, Processo decisório, Relacionamento interpessoal;100;Administração financeira;A distância, Presencial;Evento de Capacitação;Curso;Gestão de projetos tecnológicos e de inovação: foco em resultado.;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores IFPR que atuam junto a AGIF/IFPR;AGIF;PR;Aprimoramento Técnico;Aplicativos e sistemas, Comunicação eficaz, Engajamento (inspirar pessoas), Processo decisório;20;Administração financeira;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Métodos, processos e estratégias de gestão da inovação.;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores IFPR que atuam junto a AGIF/IFPR;AGIF/IFPR;PR;Aprimoramento Técnico;Aplicativos e sistemas, Comunicação eficaz, Delegação, Engajamento (inspirar pessoas), 15, Processo decisório;50;Administração financeira;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Estratégias para inovação: Criatividade e inovação;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores IFPR que atuam junto a AGIF/IFPR;AGIF/IFPR;PR;Aprimoramento Técnico;Gestão de conflitos, Orientação por resultados, Relacionamento interpessoal;25;Administração financeira;A distância, Presencial;Evento de Capacitação;Curso;Criação e avaliação de Indicadores da inovação.;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores IFPR que atuam junto a AGIF/IFPR;AGIF/IFPR;PR;Aprimoramento Técnico;Gestão de conflitos, Relacionamento interpessoal;10;Administração financeira;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Gestão de projetos tecnológicos e de inovação: foco em resultado.;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores IFPR que atuam junto a AGIF/IFPR;AGIF/IFPR;PR;Aprimoramento Técnico;Processo decisório, Relacionamento interpessoal;10;Administração financeira;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Benchmark internacional sobre NITs – estruturas, processos, prioridades, perfis. Inspiração com alguns casos de sucesso.;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores IFPR que atuam junto a AGIF/IFPR;AGIF/IFPR;PR;Aprimoramento Técnico;Processo decisório, Relacionamento interpessoal;10;Administração financeira;A distância, Presencial;Evento de Capacitação;Curso;Empreendedorismo, Incubação, Aceleração.;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores IFPR que atuam junto a AGIF/IFPR;AGIF/IFPR;PR;Aprimoramento Técnico;Processo decisório, Relacionamento interpessoal;10;Administração financeira;A distância, Presencial;Evento de Capacitação;Curso;Ecossistema de empreendedorismo e startups.;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Técnico e Docentes;IFPR;PR;Aprimoramento Técnico, Educação Formal;Relacionamento interpessoal, Representação Institucional;150;Administração financeira;A distância, Presencial;Evento de Capacitação;Curso;Legislação Educacional para o Ensino Superior;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Técnico e Docentes;IFPR;PR;Aprimoramento Técnico, Educação Formal;Autocrítica, Processo decisório, Relacionamento interpessoal;300;Transparência e controle social;A distância, Presencial;Evento de Capacitação;Curso;Metodologia e Escrita Científica;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Técnico e Docentes;IFPR;PR;Aprimoramento Técnico;Processo decisório;150;Transparência e controle social;A distância, Presencial;Evento de Capacitação;Curso;Recursos Educacionais Abertos;00:00;2020;;0;Sim
Aumentar a qualificação profissional dos servidores para melhor desenvolvimento de projetos e ações em parceria com a comunidade. Educação inclusiva;Sim;Técnicos e Docentes;IFPR;PR;Aprimoramento Técnico, Comportamental, gerencial ou liderança;Aplicativos e sistemas, Comunicação eficaz, Delegação;150;Planejamento e orçamento;A distância, Presencial;Evento de Capacitação;Curso;Ações Afirmativas e Educação Inclusiva;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Servidores públicos;IFPR;PR;Comportamental, gerencial ou liderança;Articulação, Delegação;150;Documentação e Arquivo;A distância, Presencial;Evento de Capacitação;Curso;Administração do Tempo;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Servidores IFPR;IFPR;PR;Aprimoramento Técnico, Comportamental, gerencial ou liderança;Delegação;20;Documentação e Arquivo;A distância, Presencial;Evento de Capacitação;Curso;Elaboração de Planos de Capacitação;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuam com EAD;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;50;Administração financeira;A distância, Presencial;Evento de Capacitação;;Autoria e Design Instrucional de EAD;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;50;Transparência e controle social;A distância, Presencial;Evento de Capacitação;;Ferramentas de Currículo Lattes, Diretório de Pesquisa CNPq e ORCID;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Servidores IFPR;IFPR;PR;Aprimoramento Técnico;Aplicativos e sistemas, Comunicação eficaz, Orientação por resultados;50;Administração financeira;A distância, Presencial;Evento de Capacitação;;Tecnologias e Recursos Tecnológicos na Educação Superior;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que trabalham com análise de dados.;IFPR;PR;Aprimoramento Técnico;Gestão de conflitos, Processo decisório;20;Administração financeira;A distância, Presencial;Evento de Capacitação;Curso;Metodologia de Pesquisa: análise quantitativa e qualitativa;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores IFPR que atuam junto a DPG/IFPR;IFPR;PR;Aprimoramento Técnico;Processo decisório;10;Administração financeira;A distância, Presencial;Evento de Capacitação;Curso;Ferramentas de Avaliação do Ensino Superior - Plataforma Sucupira e SAC-CAPES;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Técnico e Docentes;IFPR;PR;Aprimoramento Técnico;Gestão de conflitos, Relacionamento interpessoal;150;Contabilidade;A distância, Presencial;Evento de Capacitação;Curso;Matemática Financeira e Estatística;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Técnico e Docentes;IFPR;PR;Aprimoramento Técnico;Processo decisório;150;Administração financeira;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Fundamentos da Educação e Prática Pedagógica;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Técnico e Docentes;IFPR;PR;Aprimoramento Técnico;Processo decisório;150;Administração financeira;A distância, Presencial;Evento de Capacitação;Curso;Gestão Pedagógica, Avaliação e Planejamento Educacional;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Docentes;IFPR;PR;Aprimoramento Técnico;Processo decisório;150;Administração financeira;A distância, Presencial;Evento de Capacitação;Curso;Fundamentos Pedagógicos para a formação de professores;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Gestores públicos e tomadores de decisão relacionada à estratégia do órgão.;IFPR;PR;Aprimoramento Técnico;Orientação por resultados, Técnica/Específica do cargo;50;Correição;A distância, Presencial;Evento de Capacitação;Curso;Treinamento para uso do FORPDI;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores públicos que atuem com Planejamento Estratégico;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;150;Administração financeira;A distância, Presencial;Evento de Capacitação;;Treinamento para uso do Ághata;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores públicos que atuem com Planejamento Estratégico;IFPR;PR;Aprimoramento Técnico;Delegação;100;Correição;A distância, Presencial;Evento de Capacitação;;Integridade;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Servidores que trabalham na área de Gestão e Mapeamento de Processos.;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;150;Correição;A distância, Presencial;Evento de Capacitação;Curso;Gestão e Mapeamento de Processos;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem nos setores de compras e licitações, fiscalização e execução de contratos, ordenamento de despesas e administração;IFPR;PR;Aprimoramento Técnico, Educação Formal;Relacionamento interpessoal, Representação Institucional;150;Correição, Comunicação;A distância, Presencial;Evento de Capacitação;Curso;Fiscalização Administrativa e técnica na prática, de acordo com a IN 05/2017;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem nos setores de compras e licitações, fiscalização e execução de contratos, ordenamento de despesas e administração;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;20;Administração financeira;A distância, Presencial;Evento de Capacitação;Curso;Repactuação de contratos com dedicação exclusiva de mão de obra e análise de custos não renováveis;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Servidores que atuem nos setores de compras e licitações, fiscalização e execução de contratos, ordenamento de despesas e administração;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;75;Administração financeira;A distância, Presencial;Evento de Capacitação;Curso;Planejamento da contratação sem dedicação exclusiva de mão de obra, de acordo com a IN 05/2017;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem nos setores de compras e licitações, fiscalização e execução de contratos e TI;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Representação Institucional;150;Correição;A distância, Presencial;Evento de Capacitação;Curso;INSTRUÇÃO NORMATIVA Nº 1, DE 10 DE JANEIRO DE 2019 PAC;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Servidores que atuem nos setores de compras e licitações, fiscalização e execução de contratos, ordenamento de despesas e administração;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;100;Correição, Comunicação;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Planejamento da contratação sem dedicação exclusiva de mão de obra, de acordo com a IN 05/2017;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Servidores que atuem nos setores de compras e licitações, fiscalização e execução de contratos, ordenamento de despesas e administração;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;150;Administração financeira, Correição;A distância, Presencial;Evento de Capacitação;;Elaboração de Termo de Referência, como especificar o bem/serviço, elaboração de IMR, mapa de riscos;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Servidores que atuem nos setores de compras e licitações, fiscalização e execução de contratos, ordenamento de despesas e administração;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;75;Comunicação;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Sustentabilidade na Administração Pública;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem nos setores de Almoxarifado e Patrimônio;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;150;Ética;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;SIADS;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem nos setores de Almoxarifado e Patrimônio;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;75;Comunicação;A distância, Presencial;Evento de Capacitação;Curso;Como realizar desfazimento de bens;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;150;Comunicação;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Gestão de Contrato: papel do gestor e principais ações;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Servidores que atuem nos setores de compras e licitações, fiscalização e execução de contratos, ordenamento de despesas e administração;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;75;Comunicação;A distância, Presencial, Semipresencial;Evento de Capacitação;;Contratações diretas: principais aspectos e entendimentos do TCU;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Servidores que atuem nos setores de compras e licitações, fiscalização e execução de contratos, ordenamento de despesas e administração;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;150;Gestão, organização e inovação institucional ;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Apuração de responsabilidade, aplicação de sanções e rescisão contratual;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Servidores que atuem nos setores de Almoxarifado e Patrimônio;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;75;Comunicação;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Servidores que atuem nos setores de compras e licitações, fiscalização e execução de contratos, ordenamento de despesas e administração;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;150;Comunicação;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Julgamento de planilha de custos e formação de preços, de acordo com a IN 05/2017;00:00;2020;;0;Não
