Necessidade a ser atendida;Transversal;Público alvo;Unidades organizacionais;UF;Enfoque do desenvolvimento;Competência associada;Quantidade prevista de servidores;Área temática – Sistema Estruturante do Poder Executivo Federal;Modalidade;Tipo de aprendizagem;Especificação do tipo de aprendizagem;Título;Carga horária individual prevista;Término previsto;Ação gratuita;Custo individual previsto;A necessidade pode ser atendida pela Escola de Governo do meu Órgão
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Técnicos e Docentes;IFPR;PR;Educação Formal;Autocrítica;50;Ouvidoria;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Comunicação institucional | linguagem corporativa descomplicada;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem nos setores de comunicação do IFPR;IFPR;PR;Aprimoramento Técnico;Autocrítica;25;Ouvidoria;A distância, Presencial;Evento de Capacitação;;Redes Sociais Avançado: publicação, monitoramento e gestão;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação;Não;Servidores que atuem nos setores de comunicação do IFPR;IFPR;PR;Aprimoramento Técnico, Comportamental, gerencial ou liderança;Autocrítica;5;Ouvidoria;;;;Comunicação Persuasiva;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem nos setores de comunicação do IFPR;IFPR;PR;Aprimoramento Técnico;Autocrítica;2;Ouvidoria;;Evento de Capacitação;;Usabilidade;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem nos setores de comunicação do IFPR;IFPR;PR;Aprimoramento Técnico;Autocrítica;5;Ouvidoria;;Evento de Capacitação;Curso;Experiência do Usuário (UX);00:00;2020;;0;Não
Preparação do servidor para o desenvolvimento pessoal e profissional.;Não;Técnicos e Docentes;IFPR;PR;Comportamental, gerencial ou liderança;Aplicativos e sistemas, Engajamento (inspirar pessoas), Flexibilidade, Negociação;600;Documentação e Arquivo;A distância;;;Eu, Servidor Educador:;00:00;2020;;0;Sim
Preparação do servidor para o desenvolvimento pessoal e profissional.;Não;Servidores em cargo de liderança;IFPR;PR;Comportamental, gerencial ou liderança;Aplicativos e sistemas;150;Administração financeira;;Evento de Capacitação;Curso;Líder Servidor:;00:00;2020;;0;Sim
Preparação do servidor para o desenvolvimento pessoal e profissional.;Sim;Técnicos e Docentes;IFPR;PR;Comportamental, gerencial ou liderança;Articulação;500;Documentação e Arquivo;A distância;Evento de Capacitação;Workshop;Inteligência Emocional Servidora;00:00;2020;;0;Sim
Preparação do servidor para o desenvolvimento pessoal e profissional.;Sim;Técnicos e Docentes;IFPR;PR;Comportamental, gerencial ou liderança;Engajamento (inspirar pessoas);500;Documentação e Arquivo;A distância;Evento de Capacitação;Curso;Instituto Felicidade do Paraná;00:00;2020;;0;Sim
Preparação do servidor para o desenvolvimento pessoal e profissional.;Sim;Técnicos e Docentes;IFPR;PR;Ingresso no serviço público federal;Visão sistêmica;150;Documentação e Arquivo;A distância;Evento de Capacitação;Curso;AposentAção;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação;Não;Técnicos e Docentes;IFPR;PR;Atividade de Extensão;Processo decisório;150;Transparência e controle social;A distância;Educação Formal;;;00:00;2024;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação;Não;Técnicos e Docentes;IFPR;PR;Atividade de Extensão;Processo decisório;300;Transparência e controle social;A distância, Presencial, Semipresencial;Educação Formal;;CURSO DE LICENCIATURA;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação;Não;Técnicos e Docentes;IFPR;PR;Atividade de Extensão;Processo decisório;150;Administração financeira, Correição, Comunicação, 4, Contabilidade, Controle Interno, Custos, Documentação e Arquivo, Ética, Gestão, organização e inovação institucional , Gestão de pessoas, Planejamento e orçamento, Serviços gerais (logística), Ouvidoria, Tecnologia da informação e comunicação, Transparência e controle social;A distância, Presencial, Semipresencial;Educação Formal;;;00:00;0;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação;Não;Técnicos e Docentes;IFPR;PR;Atividade de Extensão;Processo decisório;500;Administração financeira, Correição, Comunicação, 4, Contabilidade, Controle Interno, Custos, Documentação e Arquivo, Ética, Gestão, organização e inovação institucional , Gestão de pessoas, Planejamento e orçamento, Serviços gerais (logística), Ouvidoria, Tecnologia da informação e comunicação, Transparência e controle social;A distância, Presencial, Semipresencial;Educação Formal;Especialização;;00:00;0;;0;Não
Preparação do servidor para o desenvolvimento pessoal e profissional.;Sim;Técnicos e Docentes;IFPR;PR;Comportamental, gerencial ou liderança;Articulação;75;Documentação e Arquivo;A distância, Presencial;Evento de Capacitação;Curso;Assédio moral;00:00;2020;;0;Não
Preparação do servidor para o desenvolvimento pessoal e profissional.;Sim;Técnicos e Docentes;IFPR;PR;Comportamental, gerencial ou liderança, Educação Formal;Visão sistêmica;300;Documentação e Arquivo;;Evento de Capacitação;;Prevenção de doenças ocupacionais e acidentes no trabalho;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação;Sim;Servidores que atuem nos setores de compras e licitações, TI e ordenamento de despesas e administração;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;150;Correição;;Evento de Capacitação;;Contratação de Soluções de Tecnologia da Informação - IN 04/2014 e posterior;00:00;0;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;TécnicoS e Docentes;IFPR;PR;Aprimoramento Técnico;Processo decisório;100;Transparência e controle social;;Evento de Capacitação;;Metodologias de ensino para pessoas com necessidades específicas;00:00;0;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Técnico e Docentes;IFPR;PR;Comportamental, gerencial ou liderança;Processo decisório;150;Documentação e Arquivo;;;;Capacitação para abordar questões relativas a sexualidade, drogas e álcool na adolescência;00:00;0;;0;Sim
