Tipo;Título;Inventores;Campus;Número INPI
Registro de Programa de Computador;JapanGO ;Athos Yuuki Ishikawa e Marlene Aparecida Ferrarini Bigareli;Londrina;BR 51 2019 002049-9
Registro de Programa de Computador;Um programa de computador de perguntas e respostas de Química sobre metais pesados;Thiago Orcelli, Lívia Bianca Oliveira Dariva e Cleber Fernando Serafin;Ivaiporã;BR 51 2019 000951-7
Registro de Programa de Computador;Geometria molecular a partir da fórmula molecular da substância ;Thiago Orcelli, Lívia Bianca Oliveira Dariva e Cleber Fernando Serafin;Ivaiporã;BR 51 2019 000952-5
Registro de Programa de Computador;Entomos – Aplicativo Didático para Aprendizagem de Entomologia ;Júlia Oliveira Rodrigues, Beatriz Sureki, Nícolas José Setnarsky, Valter Roberto Schaffrath e Marlon de Oliveira Vaz;Curitiba;BR 51 2019 002424-9
Registro de Programa de Computador;Buscaperto_software para android: Busca de produtos em estabelecimentos mais próximos aplicado na cidade de Londrina ;Luccas de Freitas Ferreira e Flávio Navarro Fernandes;Londrina;BR 51 2019 002270-0
Registro de Programa de Computador;Sistema de Gerenciamento do Comitê de Pesquisa e Extensão do IFPR – SISCOPE ;Estevan Braz Brandt Costa, Marcelo Estevam e Tatiana Oliveira Couto Silva;Jacarezinho;BR 51 2019 002203 3
Registro de Programa de Computador;Sistema de Gerenciamento de Eventos para o Instituto Federal do Paraná;Eduardo Custódio Vilas Boas, Vinicius Gambi Sales, Andreia Carniello e Adriana Carniello;Londrina;BR 51 2019 002967 4
Registro de Programa de Computador;Monitor COVID-19;Gustavo Theodoro Laskoski;Curitiba;BR 51 2020 000793 7
Registro de Programa de Computador;eduCO&HPV ;Anjos,Cristina Ide Fujinaga, David Livingstone Alves Figueiredo,Elaine Fátima Brek,Flavia Valenga e Valter Luís Estevam Junior;Irati;BR 51 2020 000803 8
Registro de Programa de Computador;Select Teaching ;Larissa da Silva Medola, Celina de Oliveira Barbosa Gomes e Eduardo Alberto Felippsen;Assis Chateaubriand;BR 51 2020 000931 0
Registro de Programa de Computador;Psiquê ;Amanda Keler Trentin, Eduardo Alberto Felippsen, Monia Karine Azevedo e Michelli Cristina Galli;Assis Chateaubriand;BR 51 2020 000946 8
Registro de Programa de Computador;BioEduca – Plataforma Web de Softwares Educacionais de Biologia para o Ensino Médio ;Kaio Yuri Morimoto Caroline Kochinski Costa, Adriana Carniello e Fernanda de Oliveira Martins;Londrina;BR 51 2020 001134 9
Marca;IFAGROTECH;Marcelo Estevam, Gutemberg Ribeiro, Cleber Fernando Serafin e Kellerman Augusto Lemes Godarth;PROEPPI;917960092
Marca;iFozLibras;Anderson Gonçalves Guimarães;Foz do Iguaçu;918230250
Marca;Portal de Artes do IFPR;Mônica Luiza Simião P., Luciana Milcarek e Marcelo Estevam;PROEPPI;918947820
Marca;Revista Difusão;Mônica Luiza Simião P.  e Marcelo Estevam;PROEPPI;919439136
