Nome do grupo;Nome do líder;Área predominante do grupo
GPADES - Grupo de Pesquisa para Análise e Desenvolvimento de Engenharia Sustentável ;Miguel Batista de Oliveira;Engenharia Civil
Grupo de Estudo e Pesquisa Educação e Epistemologia das Ciências e Suas Linguagens;Fabio de Souza Alves;Geociências
Informática Aplicada à Saúde;Gabrielle Jacklin Eler;Ciência da Computação
Grupo de Estudos de Cultura, Identidades e Gênero (GECIG);Andrea Mazurok Schactae;História
Currículo, Território e Diversidade Étnico-Cultural - CTDEC ;Antônio Ferreira;Educação
Desenvolvimento e análise de produtos alimentícios;Caroline Mongruel Eleutério dos Santos;Ciência e Tecnologia de Alimentos
Estudos e Pesquisas em Ciências Farmacêuticas;Lucélia Magalhães da Silva;Farmácia
Acessibilidade, Inclusão e Desenho Universal;Ângela Maria dos Santos;Educação
Ensino e aprendizagem de História;Edilson Aparecido Chaves;História
Educação, Gênero e Trabalho;Mirele Carolina Werneque Jacomel;Educação
Desenvolvimento de novos produtos e novas tecnologias;Tatiana Colombo Pimentel;Ciência e Tecnologia de Alimentos
AGRITECS - Grupo de Pesquisa em Agronegócio, Informática, Tecnologia e Sustentabilidade;Samuel Ronobo Soares;Administração
Trabalho, Educação e Formação Profissional;Vânia Maria Alves;Educação
Organização e Memórias dos Espaços Pedagógicos na Educação Profissional e Tecnológica;Leandro Rafael Pinto;Educação
Grupo de Pesquisa: Filosofia Política, Ética e Educação ;Sidney Reinaldo da Silva;Filosofia
Grupo de Estudos Interdisciplinares: práticas compartilhadas ;Diana Patricia Ferreira de Santana;Educação
GRUPO DE PESQUISA EM MASSOTERAPIA;Tatiane Romanini Rodrigues Alencar;Fisioterapia e Terapia Ocupacional
Bildung;Felipe Luiz Gomes Figueira;Educação
Grupo de Pesquisa e Extensão em Agroecologia - Gpex Agroecologia;Rodrigo de Souza;Agronomia
Núcleo de Estudos Interdisciplinares de Gênero, Diversidade e Inclusão - NeGeDI;Joyce Luciane Correia Muzi;Sociologia
PITECO - Pesquisa em Inovações Tecnológicas e Ensino de Ciências;Adriano José Ortiz;Educação
NÚCLEO DE ESTUDOS EM FORMAÇÃO DOCENTE;José Mateus Bido;Educação
